Account,BN Calls,BN Puts,BN Futures,PNL,M2M,Margin Available,Cash Balance
ER6842,-5400,0,945,-160931,-170728,42767668,2103271
SW7768,-5400,0,0,-2873437,-148625,8178740,1774703
JK0143,-3600,0,0,1135767,358884,8060754,3125780
OZS912,0,0,0,0,0,2488434,11092
SLV491,0,0,0,296595,247260,9792515,7364141
GALAXY,0,0,0,-115001,-115001,15246128,0
NEPTUNE,0,0,0,0,0,5879723,0
